Column1,link,rx_fcserrors,admin_status,rx_packets,tx_packets,poe_status,poe_power,auto_negotiation_status,time
0,FALSE,2872,TRUE,0,88,TRUE,9.2,incomplete,2019-12-05T00:00
1,FALSE,0,TRUE,0,10,TRUE,10.8,complete,2019-12-05T00:01
2,TRUE,4792,TRUE,0,1346,TRUE,9.8,complete,2019-12-05T00:02
3,TRUE,3544,TRUE,0,764,TRUE,10.6,complete,2019-12-05T00:03
4,FALSE,4505,TRUE,0,1229,TRUE,10,complete,2019-12-05T00:04
5,TRUE,1929,TRUE,0,31,TRUE,9.8,complete,2019-12-05T00:05
6,FALSE,5182,TRUE,0,1787,TRUE,9.4,complete,2019-12-05T00:06
7,FALSE,0,TRUE,0,38,TRUE,10,incomplete,2019-12-05T00:07
8,TRUE,1824,TRUE,0,26,TRUE,11,complete,2019-12-05T00:08
9,TRUE,519,TRUE,0,24,TRUE,9.8,complete,2019-12-05T00:09
10,FALSE,3181,TRUE,0,1044,TRUE,10,complete,2019-12-05T00:10
11,TRUE,2383,TRUE,0,371,TRUE,9.2,complete,2019-12-05T00:11
12,TRUE,3843,TRUE,0,474,TRUE,10,complete,2019-12-05T00:12
13,TRUE,2351,TRUE,0,121,TRUE,10.6,complete,2019-12-05T00:13
14,TRUE,3076,TRUE,0,397,TRUE,9.4,complete,2019-12-05T00:14
15,TRUE,4757,TRUE,0,846,TRUE,10,complete,2019-12-05T00:15
16,TRUE,3297,TRUE,0,31,TRUE,9.6,complete,2019-12-05T00:16
17,TRUE,3492,TRUE,0,222,TRUE,10.8,complete,2019-12-05T00:17
18,TRUE,2884,TRUE,0,1281,TRUE,9.4,complete,2019-12-05T00:18
19,TRUE,3929,TRUE,0,136,TRUE,9.2,complete,2019-12-05T00:19
20,TRUE,3248,TRUE,0,205,TRUE,9.4,complete,2019-12-05T00:20
21,TRUE,4436,TRUE,0,1918,TRUE,9.6,complete,2019-12-05T00:21
22,TRUE,4154,TRUE,0,705,TRUE,10.2,complete,2019-12-05T00:22
23,TRUE,4510,TRUE,0,1930,TRUE,10.8,complete,2019-12-05T00:23
24,TRUE,4320,TRUE,0,750,TRUE,10.8,complete,2019-12-05T00:24
25,TRUE,4628,TRUE,0,1574,TRUE,9.2,complete,2019-12-05T00:25
26,TRUE,3507,TRUE,0,232,TRUE,10,complete,2019-12-05T00:26
27,FALSE,3327,TRUE,0,944,TRUE,9.4,complete,2019-12-05T00:27
28,TRUE,3795,TRUE,0,94,TRUE,9.4,complete,2019-12-05T00:28
29,TRUE,4473,TRUE,0,554,TRUE,10,complete,2019-12-05T00:29
30,TRUE,3918,TRUE,0,690,TRUE,10.2,complete,2019-12-05T00:30
31,TRUE,3951,TRUE,0,280,TRUE,9.4,complete,2019-12-05T00:31
32,TRUE,4638,TRUE,0,1476,TRUE,9.2,complete,2019-12-05T00:32
33,TRUE,3388,TRUE,0,926,TRUE,9.6,complete,2019-12-05T00:33
34,TRUE,2882,TRUE,0,33,TRUE,9.4,complete,2019-12-05T00:34
35,TRUE,3488,TRUE,0,655,TRUE,10.2,complete,2019-12-05T00:35
36,TRUE,3430,TRUE,0,851,TRUE,11,complete,2019-12-05T00:36
37,FALSE,4446,TRUE,0,1080,TRUE,9.4,complete,2019-12-05T00:37
38,TRUE,13410,TRUE,0,1136,TRUE,9.4,complete,2019-12-05T00:41
39,TRUE,3037,TRUE,0,33,TRUE,9.4,complete,2019-12-05T00:42
40,TRUE,2885,TRUE,0,32,TRUE,9.6,complete,2019-12-05T00:43
41,TRUE,3017,TRUE,0,31,TRUE,9.4,complete,2019-12-05T00:44
42,FALSE,1529,TRUE,0,40,TRUE,9.4,complete,2019-12-05T00:45
43,FALSE,233,TRUE,0,20,TRUE,9.4,incomplete,2019-12-05T00:46
44,FALSE,391,TRUE,0,23,TRUE,9.6,incomplete,2019-12-05T00:47
45,FALSE,0,TRUE,0,0,TRUE,9.8,incomplete,2019-12-05T00:48
46,FALSE,0,TRUE,0,12,TRUE,9.6,incomplete,2019-12-05T00:49
47,FALSE,0,TRUE,0,14,TRUE,9.6,complete,2019-12-05T00:50
48,FALSE,0,TRUE,0,9,TRUE,9.2,incomplete,2019-12-05T00:51
49,TRUE,0,TRUE,0,10,TRUE,10.2,complete,2019-12-05T00:52
50,FALSE,0,TRUE,0,17,TRUE,9.6,complete,2019-12-05T00:53
51,FALSE,0,TRUE,0,6,TRUE,10.6,incomplete,2019-12-05T00:54
52,FALSE,0,TRUE,0,22,TRUE,10.4,incomplete,2019-12-05T00:55
53,FALSE,0,TRUE,0,12,TRUE,9.4,incomplete,2019-12-05T00:56
54,TRUE,1,TRUE,0,23,TRUE,9.6,complete,2019-12-05T00:57
55,FALSE,0,TRUE,0,10,TRUE,11,complete,2019-12-05T00:58
56,FALSE,0,TRUE,0,25,TRUE,11.2,incomplete,2019-12-05T00:59
57,FALSE,0,TRUE,0,21,TRUE,10.8,complete,2019-12-05T01:00
58,FALSE,0,TRUE,0,16,TRUE,9.6,complete,2019-12-05T01:01
59,FALSE,0,TRUE,0,23,TRUE,11.2,complete,2019-12-05T01:02
60,FALSE,0,TRUE,0,14,TRUE,9.4,incomplete,2019-12-05T01:03
61,TRUE,0,TRUE,0,22,TRUE,9.4,complete,2019-12-05T01:04
62,TRUE,0,TRUE,0,27,TRUE,10.4,complete,2019-12-05T01:05
63,FALSE,1,TRUE,0,19,TRUE,9.2,complete,2019-12-05T01:06
64,FALSE,0,TRUE,0,11,TRUE,10.6,complete,2019-12-05T01:08
65,FALSE,0,TRUE,0,31,TRUE,9.4,complete,2019-12-05T01:09
66,FALSE,0,TRUE,0,24,TRUE,9.8,complete,2019-12-05T01:10
67,TRUE,0,TRUE,0,17,TRUE,9.2,complete,2019-12-05T01:11
68,TRUE,0,TRUE,0,33,TRUE,9.6,complete,2019-12-05T01:12
69,FALSE,1,TRUE,0,14,TRUE,9.6,complete,2019-12-05T01:13
70,FALSE,227,TRUE,0,9,TRUE,9.6,complete,2019-12-05T01:14
71,FALSE,0,TRUE,0,11,TRUE,9.6,complete,2019-12-05T01:15
72,FALSE,0,TRUE,0,19,TRUE,10.4,complete,2019-12-05T01:16
73,FALSE,0,TRUE,0,12,TRUE,9.6,complete,2019-12-05T01:17
74,FALSE,0,TRUE,0,36,TRUE,11,complete,2019-12-05T01:18
75,FALSE,0,TRUE,0,6,TRUE,9.8,incomplete,2019-12-05T01:19
76,FALSE,0,TRUE,0,22,TRUE,9.6,incomplete,2019-12-05T01:20
77,FALSE,0,TRUE,0,16,TRUE,10.6,complete,2019-12-05T01:21
78,FALSE,0,TRUE,0,16,TRUE,11,complete,2019-12-05T01:22
79,FALSE,239,TRUE,0,24,TRUE,9.8,complete,2019-12-05T01:23
80,FALSE,0,TRUE,0,31,TRUE,10,complete,2019-12-05T01:25
81,FALSE,227,TRUE,0,16,TRUE,9.8,incomplete,2019-12-05T01:26
82,FALSE,0,TRUE,0,19,TRUE,9.6,incomplete,2019-12-05T01:27
83,FALSE,1,TRUE,0,22,TRUE,9.6,complete,2019-12-05T01:28
84,FALSE,239,TRUE,0,37,TRUE,10.2,complete,2019-12-05T01:29
85,FALSE,242,TRUE,0,31,TRUE,9.2,complete,2019-12-05T01:30
86,TRUE,244,TRUE,0,21,TRUE,10.2,complete,2019-12-05T01:31
87,FALSE,0,TRUE,0,15,TRUE,10,complete,2019-12-05T01:32
88,FALSE,0,TRUE,0,27,TRUE,10.6,complete,2019-12-05T01:34
89,FALSE,0,TRUE,0,17,TRUE,10.8,complete,2019-12-05T01:35
90,TRUE,0,TRUE,0,24,TRUE,10.6,complete,2019-12-05T01:36
91,TRUE,0,TRUE,0,15,TRUE,9.4,complete,2019-12-05T01:37
92,FALSE,246,TRUE,0,25,TRUE,10,complete,2019-12-05T01:38
93,FALSE,237,TRUE,0,22,TRUE,10.2,complete,2019-12-05T01:39
94,FALSE,0,TRUE,0,19,TRUE,9.6,incomplete,2019-12-05T01:40
95,FALSE,0,TRUE,0,13,TRUE,10.2,complete,2019-12-05T01:41
96,FALSE,0,TRUE,0,29,TRUE,10.6,complete,2019-12-05T01:42
97,FALSE,5,TRUE,0,24,TRUE,10.4,complete,2019-12-05T01:43
98,FALSE,1,TRUE,0,22,TRUE,10.2,incomplete,2019-12-05T01:44
99,TRUE,460,TRUE,0,27,TRUE,10.4,complete,2019-12-05T01:45
100,TRUE,227,TRUE,0,13,TRUE,10.8,incomplete,2019-12-05T01:46
101,FALSE,0,TRUE,0,26,TRUE,11,complete,2019-12-05T01:47
102,FALSE,252,TRUE,0,28,TRUE,10.6,complete,2019-12-05T01:49
103,FALSE,0,TRUE,0,9,TRUE,9.4,complete,2019-12-05T01:50
104,FALSE,0,TRUE,0,28,TRUE,9.6,complete,2019-12-05T01:51
105,TRUE,270,TRUE,0,20,TRUE,9.6,complete,2019-12-05T01:52
106,FALSE,0,TRUE,0,26,TRUE,11,incomplete,2019-12-05T01:53
107,FALSE,764,TRUE,0,25,TRUE,9.2,complete,2019-12-05T01:54
108,FALSE,227,TRUE,0,13,TRUE,10.4,complete,2019-12-05T01:55
109,FALSE,489,TRUE,0,21,TRUE,9.2,complete,2019-12-05T01:56
110,FALSE,0,TRUE,0,15,TRUE,9.4,complete,2019-12-05T01:57
111,TRUE,0,TRUE,0,30,TRUE,10.2,complete,2019-12-05T01:58
112,FALSE,1921,TRUE,0,42,TRUE,9.6,incomplete,2019-12-05T01:59
113,FALSE,1258,TRUE,0,25,TRUE,9.6,complete,2019-12-05T02:00
114,FALSE,0,TRUE,0,19,TRUE,10,incomplete,2019-12-05T02:01
115,TRUE,297,TRUE,0,16,TRUE,10.8,complete,2019-12-05T02:02
116,TRUE,5726,TRUE,0,3852,TRUE,9.4,complete,2019-12-05T02:03
117,FALSE,467,TRUE,0,207,TRUE,9.4,complete,2019-12-05T02:04
118,TRUE,840,TRUE,0,17,TRUE,9.6,complete,2019-12-05T02:05
119,FALSE,2348,TRUE,0,1555,TRUE,9.4,incomplete,2019-12-05T02:06
120,FALSE,6913,TRUE,0,4447,TRUE,10.2,incomplete,2019-12-05T02:11
121,FALSE,2174,TRUE,0,626,TRUE,9.4,complete,2019-12-05T02:12
122,FALSE,2719,TRUE,0,1365,TRUE,9.4,incomplete,2019-12-05T02:13
123,TRUE,1474,TRUE,0,31,TRUE,10.4,complete,2019-12-05T02:14
124,FALSE,0,TRUE,0,24,TRUE,10.8,complete,2019-12-05T02:15
125,FALSE,0,TRUE,0,17,TRUE,9.4,complete,2019-12-05T02:16
126,TRUE,560,TRUE,0,23,TRUE,10.6,complete,2019-12-05T02:17
127,TRUE,0,TRUE,0,24,TRUE,10.8,complete,2019-12-05T02:18
128,FALSE,4506,TRUE,0,2541,TRUE,9.8,incomplete,2019-12-05T02:19
129,FALSE,0,TRUE,0,16,TRUE,9.2,complete,2019-12-05T02:20
130,TRUE,2149,TRUE,0,161,TRUE,9.6,complete,2019-12-05T02:21
131,FALSE,4711,TRUE,0,1655,TRUE,9.2,complete,2019-12-05T02:22
132,FALSE,251,TRUE,0,18,TRUE,9.6,incomplete,2019-12-05T02:23
133,TRUE,3009,TRUE,0,547,TRUE,10.4,complete,2019-12-05T02:24
134,FALSE,1793,TRUE,0,484,TRUE,9.6,complete,2019-12-05T02:25
135,FALSE,1990,TRUE,0,22,TRUE,9.4,complete,2019-12-05T02:26
136,FALSE,1777,TRUE,0,25,TRUE,9.4,incomplete,2019-12-05T02:27
137,TRUE,671,TRUE,0,20,TRUE,9.8,complete,2019-12-05T02:28
138,FALSE,1260,TRUE,0,27,TRUE,9.8,complete,2019-12-05T02:29
139,TRUE,163,TRUE,0,23,TRUE,9.4,complete,2019-12-05T02:30
140,FALSE,1406,TRUE,0,22,TRUE,9.2,complete,2019-12-05T02:31
141,TRUE,4359,TRUE,0,412,TRUE,9.4,complete,2019-12-05T02:32
142,TRUE,3024,TRUE,0,1005,TRUE,9.4,complete,2019-12-05T02:33
143,TRUE,5355,TRUE,0,2165,TRUE,10,complete,2019-12-05T02:34
144,FALSE,4323,TRUE,0,566,TRUE,11,complete,2019-12-05T02:35
145,FALSE,2471,TRUE,0,355,TRUE,9.4,complete,2019-12-05T02:36
146,FALSE,225,TRUE,0,7,TRUE,10.6,complete,2019-12-05T02:37
147,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T02:38
148,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T02:39
149,TRUE,2455,TRUE,0,477,TRUE,10.2,complete,2019-12-05T02:40
150,TRUE,3431,TRUE,0,75,TRUE,9.6,complete,2019-12-05T02:41
151,TRUE,3638,TRUE,0,521,TRUE,9.4,complete,2019-12-05T02:42
152,TRUE,3211,TRUE,0,33,TRUE,10.4,complete,2019-12-05T02:43
153,TRUE,2557,TRUE,0,29,TRUE,9.6,complete,2019-12-05T02:44
154,TRUE,4279,TRUE,0,823,TRUE,9.6,complete,2019-12-05T02:45
155,TRUE,5218,TRUE,0,1281,TRUE,9.4,complete,2019-12-05T02:46
156,TRUE,4649,TRUE,0,657,TRUE,10.8,complete,2019-12-05T02:47
157,FALSE,5212,TRUE,0,587,TRUE,9.4,complete,2019-12-05T02:48
158,TRUE,5163,TRUE,0,1689,TRUE,10,complete,2019-12-05T02:49
159,FALSE,4670,TRUE,0,290,TRUE,10.6,complete,2019-12-05T02:50
160,TRUE,5173,TRUE,0,310,TRUE,10.6,complete,2019-12-05T02:51
161,TRUE,5015,TRUE,0,1377,TRUE,9.4,complete,2019-12-05T02:52
162,TRUE,4412,TRUE,0,833,TRUE,9.4,complete,2019-12-05T02:53
163,TRUE,4957,TRUE,0,1009,TRUE,10.2,complete,2019-12-05T02:54
164,TRUE,3511,TRUE,0,186,TRUE,9.2,complete,2019-12-05T02:55
165,TRUE,5177,TRUE,0,179,TRUE,9.6,complete,2019-12-05T02:56
166,FALSE,4644,TRUE,0,433,TRUE,9.4,complete,2019-12-05T02:57
167,TRUE,3464,TRUE,0,33,TRUE,9.4,complete,2019-12-05T02:58
168,TRUE,5043,TRUE,0,643,TRUE,10.2,complete,2019-12-05T02:59
169,TRUE,5077,TRUE,0,962,TRUE,11.2,complete,2019-12-05T03:00
170,TRUE,4700,TRUE,0,355,TRUE,11.8,complete,2019-12-05T03:01
171,TRUE,5211,TRUE,0,1403,TRUE,10,complete,2019-12-05T03:02
172,TRUE,5167,TRUE,0,1213,TRUE,10.6,complete,2019-12-05T03:03
173,FALSE,5035,TRUE,0,624,TRUE,11.2,complete,2019-12-05T03:04
174,FALSE,4451,TRUE,0,120,TRUE,9.2,complete,2019-12-05T03:05
175,FALSE,4328,TRUE,0,34,TRUE,10.2,complete,2019-12-05T03:06
176,FALSE,3420,TRUE,0,50,TRUE,9.4,complete,2019-12-05T03:07
177,TRUE,4125,TRUE,0,34,TRUE,9.2,complete,2019-12-05T03:08
178,TRUE,2456,TRUE,0,24,TRUE,9.2,complete,2019-12-05T03:09
179,TRUE,3180,TRUE,0,179,TRUE,9.4,complete,2019-12-05T03:10
180,TRUE,4798,TRUE,0,508,TRUE,9.4,complete,2019-12-05T03:11
181,FALSE,381,TRUE,0,4,TRUE,9.6,complete,2019-12-05T03:12
182,FALSE,0,TRUE,0,0,TRUE,10.4,complete,2019-12-05T03:13
183,FALSE,0,TRUE,0,0,TRUE,10.2,complete,2019-12-05T03:14
184,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:15
185,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:16
186,FALSE,0,TRUE,0,0,TRUE,9.2,complete,2019-12-05T03:17
187,FALSE,0,TRUE,0,0,TRUE,11.2,complete,2019-12-05T03:18
188,FALSE,0,TRUE,0,0,TRUE,9.8,complete,2019-12-05T03:22
189,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:22
190,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:23
191,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:24
192,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:25
193,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:26
194,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:27
195,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:28
196,FALSE,0,TRUE,0,0,TRUE,9.8,complete,2019-12-05T03:29
197,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:30
198,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:31
199,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:32
200,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:33
201,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:34
202,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:35
203,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:36
204,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:37
205,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:38
206,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:39
207,FALSE,0,TRUE,0,0,TRUE,11.2,complete,2019-12-05T03:40
208,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:41
209,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:42
210,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:43
211,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:44
212,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:45
213,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:46
214,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:47
215,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:48
216,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:49
217,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:50
218,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:51
219,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:52
220,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:53
221,FALSE,0,TRUE,0,0,TRUE,10.4,complete,2019-12-05T03:54
222,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:03
223,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:03
224,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T04:11
225,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:12
226,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T04:13
227,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:14
228,FALSE,258,TRUE,0,17,TRUE,11.2,incomplete,2019-12-05T04:27
229,FALSE,3750,TRUE,0,217,TRUE,9.2,incomplete,2019-12-05T04:29
230,FALSE,0,TRUE,0,11,TRUE,10.2,complete,2019-12-05T04:30
231,TRUE,3036,TRUE,0,246,TRUE,9.4,complete,2019-12-05T04:31
232,TRUE,2234,TRUE,0,325,TRUE,9.4,complete,2019-12-05T04:33
233,FALSE,0,TRUE,0,10,TRUE,10,incomplete,2019-12-05T04:34
234,TRUE,1984,TRUE,0,32,TRUE,9.4,complete,2019-12-05T04:35
235,TRUE,4455,TRUE,0,483,TRUE,10.2,complete,2019-12-05T04:36
236,FALSE,3821,TRUE,0,205,TRUE,9.6,complete,2019-12-05T04:37
237,FALSE,0,TRUE,0,18,TRUE,10.4,incomplete,2019-12-05T04:38
238,TRUE,3807,TRUE,0,322,TRUE,10.4,complete,2019-12-05T04:39
239,FALSE,5019,TRUE,0,604,TRUE,9.6,incomplete,2019-12-05T04:40
240,FALSE,475,TRUE,0,24,TRUE,9.4,complete,2019-12-05T04:42
241,FALSE,0,TRUE,0,24,TRUE,9.4,incomplete,2019-12-05T04:44
242,TRUE,836,TRUE,0,36,TRUE,10.6,complete,2019-12-05T04:46
243,FALSE,153,TRUE,0,22,TRUE,9.8,incomplete,2019-12-05T04:47
244,TRUE,2262,TRUE,0,81,TRUE,10.4,complete,2019-12-05T04:48
245,FALSE,536,TRUE,0,106,TRUE,10.6,complete,2019-12-05T04:49
246,FALSE,3650,TRUE,0,119,TRUE,9.8,complete,2019-12-05T04:51
247,TRUE,5034,TRUE,0,564,TRUE,9.8,complete,2019-12-05T04:52
248,TRUE,1056,TRUE,0,218,TRUE,9.8,complete,2019-12-05T04:53
249,TRUE,5173,TRUE,0,279,TRUE,10.8,complete,2019-12-05T04:54
250,FALSE,7605,TRUE,0,769,TRUE,11.2,complete,2019-12-05T04:57
251,FALSE,1977,TRUE,0,48,TRUE,9.6,complete,2019-12-05T04:58
252,FALSE,1827,TRUE,0,113,TRUE,10.4,complete,2019-12-05T04:59
253,TRUE,2029,TRUE,0,50,TRUE,10,complete,2019-12-05T05:00
254,FALSE,3013,TRUE,0,92,TRUE,9.6,complete,2019-12-05T05:01
255,FALSE,0,TRUE,0,21,TRUE,9.6,complete,2019-12-05T05:02
256,TRUE,2700,TRUE,0,28,TRUE,10,complete,2019-12-05T05:03
257,TRUE,3537,TRUE,0,492,TRUE,9.4,complete,2019-12-05T05:04
258,TRUE,5134,TRUE,0,804,TRUE,9.6,complete,2019-12-05T05:05
259,TRUE,2245,TRUE,0,133,TRUE,11.4,incomplete,2019-12-05T05:06
260,TRUE,247,TRUE,0,19,TRUE,9.6,complete,2019-12-05T05:07
261,FALSE,1212,TRUE,0,24,TRUE,10,complete,2019-12-05T05:08
262,TRUE,4120,TRUE,0,33,TRUE,9.4,incomplete,2019-12-05T05:09
263,TRUE,3173,TRUE,0,30,TRUE,11,complete,2019-12-05T05:10
264,TRUE,3729,TRUE,0,404,TRUE,9.8,complete,2019-12-05T05:11
265,FALSE,1366,TRUE,0,16,TRUE,9.6,incomplete,2019-12-05T05:12
266,FALSE,2188,TRUE,0,134,TRUE,10.6,complete,2019-12-05T05:13
